CourseNumber,Term,FacultyName,CourseName,Level,Description,Bonus Information,CourseDivision
HS1094,W27,"McKown, Jamie",Public Speaking Workshop,I,"Consider all the ways that public speaking could be a part of your academic and professional paths: presenting your research, sitting on a webinar panel, speaking up at ACM, advocating for an urgent cause or policy, preparing your senior project presentation, delivering a formal address at a special occasion, or even deciding to perform spoken word at an open-mic. This course will prepare you to thoughtfully analyze your audience, research and organize relevant information, and deliver the critically important, well-prepared presentation that you’re capable of. Along the way we will be guided by, and critically analyze, three varied and sometimes contradictory premises: that it’s imperative to master the art of formal, standard presentation/speech delivery, that it’s equally important to respect and refine your own unique, authentic voice and speech communication style, and that important change happens when we both listen carefully and speak up loudly. This class will be conducted as a workshop with an emphasis on students producing increasingly advanced speeches for public performance and/or consumption. Students will complete three graded, “formal” presentations while also considering additional creative approaches and formats for public communication. Students will work with a variety of short texts and videos to generate new ideas and helpful public speaking habits. The real benefits of this course come from the positive, supportive, environment in which students can practice new public speaking skills and learn from each other. This class emphasizes a fun, dynamic, “hands-on” approach to constructing speeches. Students who feel that they are less proficient in the area of public communication should not be worried that this would somehow disadvantage them in terms of their overall evaluation. All students, regardless of their levels of comfort, experience, or and English-proficiency are encouraged to consider this course. This workshop is designed to help you improve your public presentation skills regardless of whether you are a complete novice to public speaking, or already have many years of practice. Your final evaluation for the course will be based on your engagement with the process, not on some objective standard of who gave the best speeches. Level: Introductory. Prerequisites: None. Class limit: 14. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS5063,W27,"McKown, Jamie",Conspiracy Theories and Theories of Conspiracy,A,"The fear of the “hidden” enemy that lurks behind the curtain, controlling events from the shadows, is a narrative topos that continually seems to raise its conspiratorial head in all kinds of spaces and venues: from politics to pop culture, movies, novels, music, political speeches, etc. Yet, there is also evidence to suggest that widespread acceptance of these conspiracy “theories” has the potential to cultivate and propagate inherently antidemocratic, divisive, and dangerous beliefs. Those who posit the existence of conspiracies, or at least certain ones, are often dismissed outright as irrational, without any consideration made as to the substance of their claims. Belief in conspiracies, or at least certain ones, is taken as a sign of faulty logic or reason. Yet, despite this, conspiratorial explanations of various phenomenon actually have a long and vibrant history of popular acceptance in US political culture (as well as in other parts of the world). Some have gone so far as to suggest that narratives of conspiracy, as alternative or resistant explanatory frames, are actually a necessary component of democratic political life. After all we know that conspiracies, political and otherwise, have existed in the past, and may exist again in the future. How do we make sense of this tension? If conspiracy theory as a mode of explanation is inherently “irrational,” what does this mean for its enduring presence in our political discourse? Is the only difference between a “reasonable” claim rooted in fear and what we consider the paranoid ramblings of “kooks” and “nutjobs” simply a matter of which one is “correct?” Is there a silver bullet theory or magic wand that would allow us to differentiate the supposed good from the bad? Is the very act of labeling something a conspiracy theory itself a form of political hegemony? Even if conspiracies might exist, is it better to live in a world in which we assume they don’t? What do we actually mean by conspiracy theory in the first place? This seminar will explore a variety of topics related directly to how threats of conspiracy become manifest in public discourse. Readings will focus on secondary research that examines the role of conspiracy theories in political and social life, both in the United States and abroad. We will also supplement this with primary “artifacts” such as pamphlets, social media postings, videos, speeches, etc. Along the way we will also use this as an opportunity to reflect on what inter and trans disciplinary research actually looks like. The study of conspiracy narratives is an ideal example that helps us think about how different fields attempt to make sense of a phenomenon. We will survey, compare, and attempt to synthesize research from a wide range of fields, disciplines and methodologies including those from historians, anthropologists, political scientists, legal scholars, literary critics, psychologists, and others. This is an advanced seminar and students should expect to encounter readings that are rooted in disciplinary perspectives they are not familiar with. Students will need to adapt to shifting perspectives in order to both the various texts in conversation with each other. Evaluation will be based on in-class discussion as well as individual student writing assignments. Students will produce several short length essay assignments during the term as well as a longer research paper at the end of the term. Weekly lab sessions will be used for screenings of primary material and students may also be responsible for at least one primary source presentation during these sessions. This class is open to students of all interests regardless of their experience with politics, government, or social theory.Level: Advanced. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS1123,W27,"Nguyen, Hien",Introduction to Macroeconomics,I,"This course provides an introductory lens to understand the economy as a whole – the macroeconomy – and how its various parts interact. We will study topics such as (i) the short-term fluctuation of the general price level, employment level, and total output level, (ii) the linkages between structural unemployment, economic inequality, and government policies, and (iii) the long-term trajectory of economic growth and the unevenness of capitalist development. Some of the key questions we will explore include: How do we measure the macroeconomy, and what do our conventional measurements often leave out? Why do cyclical economic booms and busts exist and what drives them? What can governments do to limit the costs of job loss on workers? Looking globally, why are some countries rich and other countries poor? How have global living standards improved over the long run, and at what cost to humans, non-human beings, and the environment?This course aims to increase your ability to use abstract, quantitative models to describe and articulate the various ways in which macroeconomic factors frame the condition of possibilities for people, their families, and their communities. Upon completion of this course, you will have developed practices of thinking critically and politically about public policies and debates. You will also expand your capacity for numerical literacy and quantitative skills such as drawing valid conclusions based on data and communicating your reasoning and results effectively and clearly. The course is especially valuable for students with interests in civic engagement, social justices, political transformation, and sustainable development. Previous knowledge in economics, calculus, statistics, and linear algebra is not necessary. Familiarity with elementary algebra will be helpful but not required. Students’ learning will be assessed through problem sets, and take-home exams.Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS, QR.",,HS QR
HS-New,W27,"Nguyen, Hien",The Problem with Works,,,,
HS2084,W27,"Stabinsky, Doreen",FRANCE: European Political Institutions,I/M,"The European Union is a fascinating, ongoing experiment in international cooperation. Currently twenty-eight countries have joined together in a supra-national political and economic union, creating a political entity unique to a world of sovereign individual nation-states. This course focuses on understanding this complex and evolving union through study of its main political institutions: the European Council of Ministers, the European Parliament, and the European Commission. We will look at the workings of and functional relationships between these institutions through readings, meetings with politicians, bureaucrats, and NGOs involved in European-level politics, and visits to each of the institutions during two weeks in Brussels. We will also spend some time in the course looking at the broader political and cultural context in which the institutions operate, through examination of several important current topics in European politics. Topics could include: refugees and migrants in Europe, the reauthorization of the Common Agricultural Policy, Brexit, the rise of right-wing movements across countries in the EU. Students will be evaluated based on participation in class discussions, a reflective journal kept during their time in Brussels, and a presentation and final essay on a current EU-relevant political issue of their choosing.",,HS
HS3134,W27,"Taneja, Palak",The Empire Writes Back,M,"“You must unlearn what you have learned.” -Yoda, The Empire Strikes Back Before there was Star Wars, there were Empires. What began with the “Age of Discovery” in the 15th and 16th centuries, helmed by Portugal and Spain, took shape with the British and French Empires in the 17th century. The British Empire, in particular, expanded to encompass almost a quarter of the globe at one point. Literature was one of the many tools in the British arsenal to assert control and claim cultural supremacy. Therefore, as the colonized Resistance grew, they used the master’s tools to dismantle the Empire. In response to Joseph Conrad, there was Chinua Achebe; for Charlotte Brontë, a Jean Rhys; and for Rudyard Kipling, a Salman Rushdie. Our job in this course will be to engage with the writings of the colonized Resistance as they developed by looking inward, unlearning, adapting, and remaking the tool of English Literature. We will read the works of some authors mentioned above and more, along with critical theory, films/documentaries, podcasts, and even some Instagram feeds. You will be evaluated based on class participation, oral presentation, response posts, final paper, and a multimodal project. This class will be good for students hoping to expand their understanding and knowledge of literature and canon formation, develop critical thinking skills, and who wish to talk about how academia influences pop culture, like Star Wars. For those still wondering why to take this class, follow Yoda’s wisdom, Padawan: “Much to learn, you still have.”Students will be evaluated based on class participation, oral presentation, response posts, final paper, and a multimodal project.Level: Intermediate. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS-New,W27,"Taneja, Palak","College Seminar: Barbed Wires, Drawn Lines",,,,
HS2132,W27,"Tsygankova, Valeria",How Writing Works: Looking Under the Hood,I/M,"So much about writing can feel mystifying when you arrive at college and your writing universe suddenly expands. You might find that the writing “rules” you once learned don’t always apply. A writing strategy you once swore by might stop working. You’ve thought of yourself as a “good writer,” but now that you need to write unfamiliar genres (legal briefs, policy memos, business proposals…), you no longer feel confident. You might experience writer’s block. Picturing writers you admire, who seem to turn out great stories, podcasts, and research articles with ease, you might start to suspect that, after all, you’re a “bad writer.” But what actually happens when expert writers write? How do they become experts? How does anyone progress as a writer? It might feel like the answer to all of these questions is innate genius, or magic, but composition researchers, who study writing, find that development is actually a product of specific practices, dispositions, and acquired knowledge. Many of their findings are counterintuitive and surprising; in one study of undergraduate writers, for instance, those who felt less confident when asked to write in an unfamiliar genre were ultimately more effective than those who felt more confident. (So much for low confidence equating to bad writing). This writing course is an opportunity to get to know the research on writing development, to test out its findings, and to chip away at some disempowering beliefs about writing. Students will experiment with practices that experienced writers use to cope with the complexity and difficulty of writing; they’ll try out strategies that help people write new genres; they’ll get to know themselves better as writers by investigating what works for them and why. In addition to reading the research, students will carry out composition research of their own, adding to our existing body of knowledge and learning transferable research skills that they can draw on in other classes and contexts. Students will be evaluated on this final research project, a shorter metacognition assignment analyzing their own writing processes, and the completion of low-stakes reading and writing assignments that build up to each of these projects. This course welcomes students with no background in rhetoric and composition, as well as students looking to expand on prior knowledge, for instance those who have taken Methods of Tutoring Writing.Level: Introductory./Intermediate Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS, W.",,W HS
HS2125,W27,"Turok, Katharine","Journeys: Writing for Voyagers, Trekkers, Wanderers",I/M,"How can witnessing and reporting other worlds—whether a country, a village, a river, a mountain, or a back alley--make us more sensitive travelers, sharpen awareness of cultural biases, and empower place-based writing? This course highlights the allure, the dangers, uncertainties, risks, and joys of travel expressed in student writing. What words, images, foods, music, rituals, or other sources of inspiration spark curiosity and passions that make us want to go places?Genre analysis, writing, and transdisciplinary research projects will deepen a sense of place as the course explores the rhetoric of travel and its transformative impacts. Students will experiment with, for instance, flash-essays, chronicles, interviews, journals, and field notes. Research projects will spotlight judicious selection of relevant sources, integration of data, and inclusion of multimodal elements. We will consider, too, the relation between travel writing and ethnography, between travel and gender, racial, religious, and ethnic components. Conveying impressions after short or extended excursions, students will recognize and develop which rhetorical strategies are appropriate for particular purposes, situations, audiences, discourse communities, and genres. Maps, films, infographics, letters, newspaper articles, guidebooks, blogs, Instagram posts, diaries, and logs constitute genres that may be examined and created. Students will further hone their craft in writing workshops, conversations, conferences, and presentations. Short excerpts that reflect the intimate connection between travel and writing will be discussed, and the various rhetorical strategies employed by writers such as Matsuo Basho, Tu Fu, Álvar Núñez Cabeza de Vaca, Olaudah Equiano, Mary Kingsley, James Baldwin, Maxine Hong Kingston, Taras Grescoe, Bill Bryson, Annie Dillard, William Least Heat-Moon, Anthony Bourdain, Eileen Myles, Binyavanga Wainaina, and Hans M. Carlson. Whether an Inuit film for global audiences, or the map of a route across the North American continent by water, or notes in a diary from the Hindu Kush, for example, the course materials do more than simply record or narrate experiences and territories: they also report and shape the world and what it means to us. Evaluations will be based on class discussions, writing projects, and presentations.Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",,W HS
HS1077,W27,"Van Vliet, Netta",Ethnographic Writing,I,"Ethnographic writing, literally the ""writing of a people,"" is anthropology’s primary disciplinary mode of representation, based on participant-observation fieldwork. Early ethnographies were usually written by anthropologists from Europe and the United States about people they had studied in other parts of the world. In the 1970s and on, critical questions about representation increasingly challenged assumptions about ethnographic work, raising questions about objectivity, transparency, politics and the relationship of ethnographers to the people and places about which they are writing. This class will introduce students to a range of ethnographies in the discipline of anthropology, as well as to some of the political, cultural, and intellectual debates and contexts in which these ethnographies were produced. At the same time, we will consider epistemological, ethical, philosophical and methodological issues that such writing involves, including questions about representation, translation, difference and interpretation. In addition to classic ethnographies, we will also read some fiction, travel writing, and journalism. We will consider questions about how ethnographic knowledge is authorized, how assumptions about interpretation shape ethnographic writing, relations between individual and group, and the relations between author and reader. Students will be asked to experiment with ethnographic writing themselves, through a series of short writing assignments as well as a final project. The course is designed to allow students to workshop their own writing. Students will be evaluated on the development and improvement of their own writing over the course of the term, on their attention to observation of selected ethnographic sites, on their ability to critically evaluate and closely read ethnographies as texts, and on their engagement with their peers’ writing in peer review exercises. Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS3059,W27,"Waldron, Karen",Native American Literature,M,"This course is a challenging introduction to several centuries of Native American literature, the relevance of historical and cultural facts to its literary forms, and the challenges of bridging oral and written traditions. Authors include such writers as Silko, Erdrich, Harjo, Vizenor, and McNickle as well as earlier speeches and short stories. We also consider non-native readings and appropriation of Native American styles, material and world views.",,HS
HS3102,W27,"Cline, Ken",Human Ecology of Wilderness,M,"Wilderness has been the clarion call for generations of environmentalists. Henry David Thoreau once said, ""In wildness is the preservation of the world."" That single sentence and the controversy surrounding that idea provides the central focus of our explorations over the term. This course examines the question of wilderness from multiple perspectives in the hopes of providing an understanding of the concept and real spaces that constitute wilderness. Starting with a week-long canoe trip down Maine's Allagash Wilderness Waterway, we look at historical and contemporary accounts of the value of wilderness, biological, and cultural arguments for wilderness, and the legal and policy difficulties of ""protecting"" wilderness. Considerable time is spent evaluating current criticisms of the wilderness idea and practice. Students are involved in a term-long project involving potential wilderness protection in Maine. This involves some weekend travel and work in the Maine Woods. Classwork emphasizes hands-on projects as well as theoretical discussions.Level: Intermediate. Prerequisite: HS4026 Environmental Law & Policy or permission of instructor. Class limit: 14. Lab fee: $275. Meets the following degree requirements: HS",,HS
HS2091,W27,"Mahoney, Dan",Forms of Poetry,I/M,"This class is a study of, and a writing workshop in, poetic forms. We will look at constraints, techniques, and directions of contemporary poetry through intensive reading, writing, and criticism of our own poetic work. This background is useful and significant for the study of poetry at any level, and is especially helpful in light of the fact that, for better or worse, free verse techniques have dominated poetry in the twentieth century. This course is valuable for practiced poets, emerging poets, and prose writers alike. Forms of Poetry asks students to pay attention, create poetry of attention, and revel in poetry that is attentive to language; this process will help students develop voice and lyrical content in their own writing. We will look older, “received forms” (Sonnet, Ghazal, Villanelle) and create our own forms by using experimental techniques (homophonic translation, concrete poetry, erasure, nonsense words (i.e. Jabberwocky)) and look to end the term with the amazing Japanese form, Zuihitsu. You might be thinking: Why write with these crazy constraints or in these old timey poetic forms? And what the heck is a Zuihitsu? Those are good questions, questions we will address on a weekly basis. Over the last seventy years, the debates over poetic expression have been shaped in visceral ways, from “raw” versus “cooked,” “academic” versus “beat,” “formal” versus “antiformal.” This class is designed to deepen your knowledge of these debates and to inspire you to draw upon a variety of modes in your own writing. Evaluations: Students will be expected to contribute to a class blog, write several poems a week, revise poetic output, participate in class workshop, and hand sew a chapbook of their own revised, creative work. Level: Introductory/Intermediate. Prerequisites: none. Class limit: 12. Lab fee: none. Meets the following degree requirements: HS",,HS
,W27,"Hill, Ken",TBD,,,,
HS3061,W27,"Van Vliet, Netta",Postcolonial Islands,M,"This course focuses on islands – geopolitically and conceptually – to consider the significance of postcolonial difference for contemporary political questions about representation, violence, exile and diaspora, climate change, poverty, racialization and sexuality. Islands have long been imagined as sites of fantastic possibility and power, as places of refuge and respite as well as places of horror and dread. They are places imagined as home to cannibals and monsters, but also as idyllic vacations spots and safe havens for shipwrecked sailors. Etymologically, the word island carries with it the meaning of both land and water, and islands are defined as fragments of a whole, and simultaneously as whole unto themselves, raising questions about binaries and boundaries between self and other and about the conceptual topographies of territory, land and water, thresholds between here and there. Islands have been sites ripe for colonial ventures, understood as isolated, insular and susceptible to translation and appropriation but also as resistant, bounded and singular, fertile sites of diversity. Islands have also been significant in religious understandings of them as sites for communion with God or as final places of burial. This course will examine islands in these terms as they have been articulated in the literary imagination, in postcolonial studies and ethnography, and in political theory. Drawing on examples such as Defoe’s Robinson Crusoe, J.M. Coetzee’s Foe, The Odyssey, Plato’s Atlantis, Jonathan Swift’s Gulliver’s Travels, Shakespeare’s The Tempest, Octave Mannoni’s Prospero and Caliban, Aime Cesaire’s A Tempest, as well as on ethnography in Island Studies (including classic ethnography such as Malinowski’s Trobriand Islands, and recent scholarship such as “The Island Studies Journal” and A World of Islands), we will consider questions about political representation, language and translation, religious, ethnic and sexual difference, the definition of the human, mobility and sovereignty, resistance and domination. Students will be evaluated based on attendance, in-class participation, reading responses, one short analytical essay, and a final exploratory research project that examines Mt. Desert Island in the context of course materials.",,HS
ES1076,W27,"Todd, Sean",Polar Ecology and Exploration,I,"The Arctic and Antarctic represent some of the most extreme environments on the planet. As physical places, both poles play an important role in governing the planet’s climate and heat flow. Both are suspected to be rich in minerals and are thought to perhaps hold short-term relief from current world shortages in natural resources. As ecosystems, both are hugely productive in spite of, and in part because of the extreme temperatures they experience; certain species are found nowhere else and in fact thrive in these remote locales. Superimposed upon these natural environments is the presence of humans. Exploration of both areas has been particularly focused in the past century, with countless stories of the perseverance and persistence of our pioneering spirit. Initially surveyed to forward nationalistic agendas, both poles are now sites of scientific inquiry. In particular, the political model that currently governs Antarctica as one massive Protected Area has no precedent and perhaps suggests a way forward for environmental agendas working on global scales. More recently, the poles have been exploited by ecotourism businesses.This class examines the provinces of the Arctic and Antarctic, wildernesses whose boundaries can be defined physically, biologically, geologically and politically. We will examine the rich and highly adapted diversity of life as it is affected by local and global oceanography and atmospheric science, and assess the impacts of climate change on these fragile environments. We will also review our relationship with these places and examine what future we might play in preserving, and/or exploiting the polar regime, using Human Ecology as a model for our understanding. Evaluation will be by two term papers and participation in class activities. Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: $50. Meets the following degree requirements: ES.",,ES
,W27,"Robbins, Dani",TBD,,,,
ES2012,W27,"Todd, Sean",Intro to Statistics and Research Design,I/M,"This course introduces the basics of statistical analysis that can be used in either a scientific or a social science frame of reference. While this course teaches you to perform both nonparametric and simple parametric analysis both by hand and computer, an emphasis will be placed on understanding the principles and assumptions of each test, rather than mathematical ability per se. We will also learn how to report statistical results in journal format, and there will be plenty of lab time to sharpen skills. Evaluation is based on lab participation, three quizzes, and a team project. Level: Introductory/Intermediate. Prerequisites: A college mathematics course, or signature of the instructor. Class limit: 12. Lab fee: $40. Meets the following degree requirements: QR.",,QR
AD3025,W27,"Baker, Jodi",Special Topics in Production,M,"This course provides practical experience in the processes required to build a theatrical production. Because each rendition of the class focuses on new source material, new production methods and concepts, students may receive credit for this course multiple times. Students research, rehearse, and produce a performance for the public in collaboration with a faculty director. The material and pedagogical focus of the course changes with each successive rendition. The number of students enrolled in the course varies depending upon the demands of the project. Students with any or no experience in theater are welcome but priority is based on seniority and/or specific academic investment in the given project, process or subject matter. In most cases, all assignments (cast and crew) will be made the previous term, through auditions and interviews. Those interested in non-actor aspects of production (set design, light and sound design, stage management, dramaturgy etc.) are especially encouraged. The course meets four days a week and those enrolled must be available for a certain amount of additional collaborative work outside class time (extra rehearsals, construction and tech work, plus final performance dates and strike). A production schedule will be available by week one. Evaluation is based on demonstrated commitment to the process as well as a final reflective paper based on the experience. Default grading option is Credit/No Credit. Level: Intermediate. Prerequisites: none. Class Limit: 12. Lab fee: $75. Meets the following degree requirements: ADS",,ADS
AD-New,W27,"Capers, Colin",Film History I,,,,
AD5032,W27,"Clinger, Catherine",Advanced Studio Printmaking,A,"This art studio course is a continuation of the introductory course Studio Printmaking. A print mirrors the surface of its matrix and presents a reflection of the physical and/or immaterial realms of objects and ideas. Representing concepts clearly in any medium requires an artist to engage in thoughtful collaboration with materials in order to realize the potential of form as a means of expression. This advanced studio course will explore ways to address this aesthetic challenge through printmaking by experimenting with conventional and non-traditional ways of creating a range of matrices. Students will acquire skills as printmakers with an emphasis on multiple-plate, collagraph, and other advanced techniques. Students will develop a deeper understanding of the history of prints; how they have functioned to communicate, document, and transmit information through images on paper – engaging with more complex discourses of representation. Students will be evaluated on their projects, participation in critiques, level of engagement with materials, ability to work in a collaborative studio, and final project. Level: Advanced. Prerequisites: Studio Printmaking and at least one drawing class; permission of instructor. Class limit: 5. Lab fee: $200. Meets the following degree requirements: ADS",,ADS
AD1078,W27,"Henderson, Jonathan",Shellac to Spotify: 100 Years of Recorded Music,I,"Around one hundred and fifty years ago people’s relationship to sound and listening began to fundamentally change. No longer just an ephemeral phenomenon, sound became a thing that could be captured, stored, and played back. The first sound recording technology, the Edison Tin Foil Phonograph, induced a minor social panic; people described being unsettled by the uncanny experience of listening to voices from the past. We now take this ability to listen and re-listen to events from the past for granted as we stream music into our earbuds, enjoy the heightened emotions brought on by a film or television score, or feel our bodies resonate with rumbling bass frequencies at a dance party. Shellac to Spotify: 100 Years of Recorded Music explores how music and technology have coevolved over the past hundred years to shape our relationships to sound, music, and listening. We will approach these questions with both hands-on assignment and from the perspectives of the academic fields of ethnomusicology and sound studies. Students will experiment with music technologies: creating an analog cassette mix tape, soldering together a theremin, composing with analog synthesizers, conducting low-power radio transmissions, experimenting with autotune and digital sequencers, exploring algorithmic music composition, and learning the basics of sound recording and editing in a digital audio workstation (DAW). In addition to weekly hands-on activities, students will read academic texts exploring how the intersection of music and technology reflect and condition social values, norms, and ways of knowing the world. For a final project, each student will create a short podcast that examines a musician, song, or music technology in historical and social context. Student assessment will be based on attendance, the completion and thoroughness of assignments and projects, participation in seminar discussions, and the end-of-term podcast project. Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: $70. Meets the following degree requirements: ADS.",,ADS
AD6030,W27,"Henderson, Jonathan",Samba Percussion Ensemble,,"Samba is one of music’s great spectacles – loud, coordinated, precise, and kinetic. The music is equally at home on the stage and in the street. All are welcome to participate in COA’s samba percussion ensemble. The individual percussion parts range in complexity so the music suits a wide range of skills and levels of experience. The musical repertoire for the ensemble will be developed in coordination with Caique Vidal, a Brazilian percussionist who will visit the class (virtually) on a few occasions to offer perspective and insights drawn from his experience with the music. Alongside rehearsal and performance, students will study the history of samba music in Brazil. We will read Barbara Browning’s Samba: Resistance in Motion and also discuss what the music’s recontextualization to a college campus in Maine might mean for its performers and listeners. Student assessment will be based on rehearsal attendance, class discussion participation, reading response journals, and a final group presentation.Level: Variable, Introductory through Advanced. Prerequisites: None. Class limit: 12. Lab Fee: $60. Meets the following degree requirements: ADS",,ADS
,W27,"Ialeggio, Anna",TBD,,,,
AD-????,W27,"Muller, Brook",Drawing Winter Ecologies,,,,
AD1071,W27,"Sebastian, Neeraj",Fundamentals of Painting,I,"In this course, students will be introduced to the basic aspects involved in the process of translating what they are observing in space onto two-dimensional surfaces in oil paint. Students will be introduced to the basics of color theory, mixing and matching colors, and also explore how color can change depending on context. Through the assignments we will investigate how form, volume, space and light can be captured in paint. Students will learn how to build their own frames and stretch and prepare canvases for painting and develop a studio practice, which includes cleaning and maintenance of brushes, the palette and other tools. A broad range of ideas and concerns in painting throughout history, from various parts of the world will be introduced in the class. In the last part of the term, different aspects of composition will be discussed: the way colors and shapes can work together to create an integrated image. Assignments will include quick paintings as well as paintings that are made over the course of multiple class sessions. The assignments over the course of the term will build students’ confidence in translating what’s in front of them, which makes the task of taking on the images in their heads, the images they are interested in, less daunting.Students will learn how to look at and analyze their peers’ work and provide them with constructive feedback during critiques. Previous drawing experience at high school or college level is strongly recommended. Evaluation will be based on how the specific criteria set for each assignment are met, participation and engagement during critiques, and receptivity to feedback.Level: Introductory. Prerequisite: None, but previous drawing experience at high school or college level is strongly recommended. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",,ADS
,W27,"Ferrari, Melissa",TBD,,,,
,W27,"Soares, Zach",Entry Point: TBD,,,,
,W27,"Edwards, Torrie",TBD,,,,
ES3012,W27,"Feldman, David",Calculus II,M,"This course is the continuation of Calculus I. It begins by considering further applications of the integral. We then move to approximations and series; we conclude the course with a brief treatment of differential equations. The mathematics learned are applied to topics from the physical, natural, and social sciences. There is a weekly lab/discussion section. Evaluations are based on homework, participation in class and lab, and tests.Level: Intermediate. Prerequisites: Calculus I or the equivalent. Lab fee None. Meets the following degree requirements: QR, ES.",,ES QR
ES1052,W27,"Gadeken, Kara",Biology: Cellular Process of Life,I,"This course introduces students to the molecular and cellular processes that are essential for life. We will initially cover some basic chemistry to develop a common language for discussing the complex molecular events that are the basis of the structure and function of cells. This class will explore cellular processes involved in metabolism, communication, growth, and reproduction. There is a strong emphasis on the understanding the genetic basis of these processes as well as how these processes are controlled, and we will delve into the structure and function of the DNA molecule in some detail. We will examine how our understanding of genetic processes and genome sequencing has led to applications in research, medicine, agriculture, and industry, with time also devoted to discussion of the social and ethical consequences attached to these technological innovations. Students will be evaluated on participation, performance on problem sets and quizzes throughout the term, and a final oral presentation. Level: Introductory. Prerequisites: none. Class limit: 16. Lab fee: $25. Meets the following degree requirements: ES",,ES
MD2015,W27,"Gibson, David",Endgame Decarbonization,I/M,"Recent reports say we need to cut global carbon emissions in half by 2030 and eliminate carbon emissions by 2050 or sooner. How can we electrify climate solutions to meet these urgent targets? What steps are needed to eliminate fossil fuel consumption, and how quickly can we implement them? To maintain the habitability of the planet, we have no choice but to win the carbon endgame. This course will discuss the technical requirements of the clean energy transition, including beneficial electrification, energy efficiency and renewable energy, but the emphasis will be on societal shifts needed to accelerate economy-wide decarbonization. Students will examine how fossil fuel corporations have lied about their impacts on the climate for decades, and how that has influenced policies and funding programs. This course will focus on readings, reflection and discussion. Topics covered will include the social, environmental, and economic impacts of fossil fuels versus renewable energy. Students will examine the role of diverse economic sectors including real estate, finance, and education in this transition. Students will explore the facets of transitioning an entire town or neighborhood away from fossil fuels, and the benefits or challenges associated with planning and implementing projects at a larger scale than an individual home. How can we completely transition off fossil fuels within a generation? Students who successfully complete this course will be able to identify the steps to transition a building off fossil fuels, and have a conversational understanding of how various economic sectors are critical to support the global clean energy transition. This course will provide students with the tools and experience to reduce community energy use and greenhouse gas emissions in a holistic manner. Evaluation will be based on participation in class discussions, completion of 3-4 written assignments including reflection papers, and 1-2 class presentations.Level: Introductory/Intermediate. Prerequisites: None. Class limit: 15. Lab fee: $30. Meets the following degree requirements: None.",,
,W27,"Graham, Carrie",_ no classes,,The instructor is not teaching any courses this term.,,
ES1042,W27,"Hall, Sarah",Geology and Humanity,I,"In this course we will explore how geology has played a major role in human history and culture over multiple temporal and spatial scales. We will explore the underlying geological processes forming and influencing our environment and how this relates to human migration and settlement patterns, political boundaries, geohazards, resources, the modern landscape, and agriculture. This course will appeal to students interested in exploring connections between geology and other subject areas, or who are curious about humanity's place in geologic time. This course will implement readings from a range of sources: geologic textbooks, excerpts from short historical texts, and scientific journal articles. We will use class time in a variety of ways: lecture-based, seminar-style discussion, and laboratories spent visiting local field sites. Students will be evaluated based on their performance on weekly problem sets or writing assignments, a midterm quiz, as well as a term project with both oral and written presentation components.",,ES
ES4048,W27,"Letcher, Susan",Biostatistics,M/A,"This course will provide students with a toolbox of techniques in statistical analysis, with a focus on the biological sciences. Students will learn how to choose and apply a variety of widely used statistical tests, how to design experiments and studies with statistical analysis in mind, and how to use a range of specialized statistical approaches for data types frequently encountered in the biological sciences. The methods we will cover include parametric and nonparametric tests; approaches designed for categorical, ordinal, and continuous data; biodiversity statistics and ordination methods; Bayesian vs. frequentist inference; and robust experimental design. The class will highlight the assumptions involved in statistical inference and the conditions that must be met in order to use statistical tests appropriately. In the lab, students will use the statistical programming language R to explore, display, and analyze data using the methods covered in class. By the end of the term, students should be able to choose appropriate analytical methods for a wide range of data types, design statistically valid experiments, and write code for basic statistical tests in R. Students will be evaluated based on daily homework assignments, weekly lab work, several take-home exams, and a final group presentation based on an original analysis of an archived data set chosen by the students. Note: each student should have a laptop for lab (PC preferred; limited support will be provided for Mac users). Contact the instructor if you do not have your own laptop. Level: Intermediate/Advanced. Prerequisites: An introductory course in statistics (Intro to Statistics and Research Design, Probability and Statistics, or equivalent), and permission of instructor. Class limit: 15. Lab fee: None. Meets the following degree requirements: QR",,QR
