FacultyName,CourseName,CourseDivision,Level,Description,Bonus Information
"Baker, Jodi",Space and Time,,Intermediate/Advanced,"Drawing on geological and environmental science research practices as well as time based art, performance studies and movement training principles, this course explores some of the ways in which scientists and performing artists investigate space and time across different scales and distinct histories. Students will generate questions rooted in observation and analysis and consider what it means to map a story or locate an object or body, including oneself, in a given context (real or imagined). We will utilize existing datasets as well as make and record new observations, practicing visualization, embodiment and interpretation as well as intellectual, emotional and physical response. A large portion of the course involves working within boundaries and tight constructs as a means of thinking over vast and varied scales of time and space. Through this work, students will gain new understanding of the challenges and opportunities in communicating and making choices across disciplinary languages, symbology and structures. Students will engage with a variety of readings, datasets, film, video, physical training and fieldwork. Evaluation is based on active participation and demonstrated engagement with all course topics, a sequence of short projects, and a final synthesis. The course is enrolled by permission of instructor. Level: Intermediate/Advanced. Prerequisites: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work. Class limit: 12. Lab fee: $50. Meets the following degree requirements: None.","<p>If the course description (below) of the multidisciplinary intermediate-advanced course Space and Time, offered spring 2026 sounds interesting to you, read on!</p><p>Permission of instructor is required for course registration as it is important for the students to have background experience with some of the material and methods that will be used in this course: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work.  </p><p>Many courses and/or training experiences may provide this background, so if you are interested in the course, please reach out to Jodi and Sarah by email to express your interest and describe your relevant experience/coursework. Please send the email to both instructors (shall@coa.edu, jbaker@coa.edu) and we’ll be in touch to answer any questions and/or discuss the course further. We will also be at the Advising Forum this Wednesday.</p>"
"Hall, Sarah",Space and Time,,Intermediate/Advanced,"Drawing on geological and environmental science research practices as well as time based art, performance studies and movement training principles, this course explores some of the ways in which scientists and performing artists investigate space and time across different scales and distinct histories. Students will generate questions rooted in observation and analysis and consider what it means to map a story or locate an object or body, including oneself, in a given context (real or imagined). We will utilize existing datasets as well as make and record new observations, practicing visualization, embodiment and interpretation as well as intellectual, emotional and physical response. A large portion of the course involves working within boundaries and tight constructs as a means of thinking over vast and varied scales of time and space. Through this work, students will gain new understanding of the challenges and opportunities in communicating and making choices across disciplinary languages, symbology and structures. Students will engage with a variety of readings, datasets, film, video, physical training and fieldwork. Evaluation is based on active participation and demonstrated engagement with all course topics, a sequence of short projects, and a final synthesis. The course is enrolled by permission of instructor. Level: Intermediate/Advanced. Prerequisites: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work. Class limit: 12. Lab fee: $50. Meets the following degree requirements: None.","<p>If the course description (below) of the multidisciplinary intermediate-advanced course Space and Time, offered spring 2026 sounds interesting to you, read on!</p><p>Permission of instructor is required for course registration as it is important for the students to have background experience with some of the material and methods that will be used in this course: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work.  </p><p>Many courses and/or training experiences may provide this background, so if you are interested in the course, please reach out to Jodi and Sarah by email to express your interest and describe your relevant experience/coursework. Please send the email to both instructors (shall@coa.edu, jbaker@coa.edu) and we’ll be in touch to answer any questions and/or discuss the course further. We will also be at the Advising Forum this Wednesday.</p>"
"Clinger, Catherine",Studio Printmaking,ADS,Intermediate/Advanced,"Printmaking is the process of transferring an image from one surface to another. A print mirrors the surface whence it came and also performs as a reflection of the physical and/or immaterial realms of objects and ideas. Representing concepts clearly in any medium requires an artist to engage in thoughtful collaboration with materials in order to realize the potential of form as a means of expression. This studio course will explore ways to address this aesthetic challenge through printmaking. Students will acquire basic skills as printmakers with an emphasis on relief (woodcut and linocut) and intaglio (line etching, engraving and aquatint) techniques. They will also develop a broad understanding of the history of prints; how they have functioned to communicate, document, and transmit information through images on paper. Students will be evaluated on their projects, participation in critiques, level of engagement with materials, ability to work in a collaborative studio, and final project. Level: Intermediate/Advanced. Prerequisite: Permission of the instructor, Introduction to Arts and Design, and a drawing class. Class limit: 8. Lab fee: $200. Meets the following degree requirements: ADS",
"McLean, Adam",Teaching and Learning Music in Human Ecology,,Introductory/Intermediate,"Music has been a powerful component of human ecology since time immemorial. It can carry our stories, express our values, communicate aspects of our individual and communal identities, and help us understand those of others. Consequently, the ways that music has been transmitted across generations have had profound impacts on the course of humanity. Understanding how and why music is taught and learned is, therefore, crucial to understanding human ecology. Using transdisciplinary resources from social studies, musicology, education studies, neuroscience, and more, this course will explore how people learn music, what people learn through music, and how musical teaching practices can reflect and shape the cultural identities of individual learners and their communities. In addition to taking part in seminars centered around multimedia course materials, students in this course will observe and engage in music teaching and learning experiences–both formal and informal. Assessment of student work will include participation in class discussions and musical experiences, a report on music education practices in a chosen cultural context, reflective journals on a multi-week music teaching or learning practice, and a demonstration lesson that uses music in some way. All musical interests and levels of musicianship (including novices) are welcome in this course.Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: $40 Meets the following degree requirements: None.","Offered this spring: Teaching and Learning Music in Human Ecology! If you are interested in the intersections of music, education, politics, cultural anthropology, sociology, biology, and neuroscience, this is the course for you. "
"McKown, Jamie",The Cold War: Early Years,HS HY,Intermediate,"This course provides a broad historical overview of the early years of the “Cold War” period that shaped global politics generally and American foreign policy specifically. Beginning in the 1940’s and leading up to Richard Nixon's election in 1968 we will examine the diplomatic relationship between the United States and the Soviet Union and how this relationship has impacted state actors, economic policies, cultural production, and conceptions of identity. While there will be a heavy focus on traditional state-level diplomatic history, students will also explore a broad array of methodological approaches. Class sessions will include a mix of traditional lecture formats, class discussion, and outside presentations. An evening lab is scheduled in order to screen a variety of cultural artifacts from the various periods we will cover. The primary goal is to give students an intensive 10-week crash course into key events, concepts, figures, etc.. that defined the early decades of Cold War diplomacy. At the same time there is also time allocated for students to explore their own independent research interests. Given the far-reaching force of Cold War politics into everyday life, individuals with widely varying academic interests will find the course informative and productive. Evaluation will be based on a mix of class participation, individual research assignments, and exams. All students, regardless of their backgrounds, previous coursework, or interests are welcome. Level: Intermediate. Prerequisites: None. Class limit: 20. Lab fee: none. Meets the following degree requirements: HY HS",
"Winer, Joshua",The Contemporary Landscape in Photography,ADS,Introductory/Intermediate,"This course examines the techniques and expressive possibilities of photographing “natural” landscapes, the built environment, and the intersection of the two subjects. Using historic makers for inspiration some slide lectures will be included, but each student will be expected to do some research on their own to find inspiration from other artists. Being inclusive of various aesthetics, we’ll explore differing expressions of beauty and students will be expected to engage ways of working outside their own comfort zone. Readings by Rebecca Solnit, Lucy Lippard, Frank Gohlke, Deborah Bright, Robert Adams, Richard Misrach, John Stilgoe, Bill McKibben, and Geoffrey Batchen, among others, will inform our discussions. Weekly shooting assignments, and readings will be expected prior to mid term. After mid term, you will work toward one final project that explores your own personal expressive choices based on your interests and affinities. These final projects will be displayed publicly, if possible, during week ten. Some prior experience with Adobe Lightroom Classic or Photoshop is highly recommended. Students will be evaluated on the completion of weekly and final projects, and participation in discussions and critiques; pass/fail grade encouraged.Level: Introductory/Intermediate. Prerequisites: AD1026 Introduction to Photography. Class limit: 12. Lab fee: $100. Meets the following degree requirements: ADS",
"Khor, Su Yin","The Craft, Theory, and Practice of Interviewing ",HS,Advanced,"This course is about the craft, theory, and practice of interviewing primarily for research projects, but it’s also relevant to other interview-based projects like documentaries, journalism, and podcasts. Craft: Asking questions is a fundamental component of human interactions, but interviewing requires more than basic interactional ability. It takes thought, intention, empathy, and presence to build a relationship with interviewees and to create a space where they feel safe, seen, and heard. How do interviewers orient to the speakers and navigate power dynamics while humanizing the interview process? Theory: You will be introduced to the ways that interviews and the interviewer-interviewee relationship have been theorized and conceptualized by researchers. Recent efforts to humanize research methods have raised questions about the use of interviews, as well as the positioning and treatment of interviewees. What ethical considerations do we have to make when people trust us with their stories? Practice: A great deal of preparation is completed prior to interviewing and more labor awaits post-interview. You will learn about practical aspects, such as question design, recording methods, transcription practices, and analytical methods (discourse analysis). Basic aspects of developing a research/project will be introduced and ethical considerations will be discussed. As risks can’t be eliminated, how do we navigate, assess, and manage them? Skills like project development and an understanding of ethics, informed consent, and risk assessment are transferable to projects such as documentaries, journalism, podcasts, and many more. The course provides an overview of Ethical Research Review Board (ERRB) processes and human subjects research. Submitting an ERRB proposal isn’t required, but the proposal development skills are important to other genres, such as senior project proposals, fellowship applications, grant proposals, and graduate school applications. This course draws primarily on scholarship in the social sciences, specifically applied linguistics, discourse studies, and linguistic anthropology. You will develop an interview-focused project to explore a topic of your choice and present your findings in an appropriate genre, such as a research paper, journalistic piece, podcast or other genre. Evaluation is based on discussions, written assignments, labs, individual and group work, peer-reviews, data sessions, and interview and transcription practice. The readings are interview-focused and address many areas, including but not limited to food, identity, language, discourse, gender, race, and class. You must have completed your writing requirement and completed at least three terms at COA (or one academic year elsewhere) to enroll in this course.Level: Advanced. Prerequisite: Must have taken a writing course and completed at least 3 terms at COA or one academic year at a different institution. Methods classes are not easy and require students to juggle a lot of work, readings, and deadlines. This course is probably more suitable for students in their third or fourth year. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.","<p>If you are interested in using interviews for research projects and other relevant project, such as documentaries, podcasts, journalism etc., I'm offering a new course next term that will go over everything from question design, transcription, ethical concerns, ERRB/IRB, interviewer-interviewee relationship, recording, interview analysis etc. It's an advanced course and meets the HS requirement (it does not meet the writing requirement). It's an advanced course. </p><p>There are two pre-reqs: W and at least three terms at COA (or a year at a previous institution). </p><p>Reach out if you have questions.</p>"
"Ferrari , Melissa ",Visualizing Truth: Animated Documentary,ADS,Introductory/Intermediate,"For over a century, filmmakers have used animation to imagine realities that can’t be captured on live-action film. From the stop motion scientific visualization of stag beetles in Wladyslaw Starewicz’s ""Lucanus Cervus"" (1910) to Winsor McCay’s dramatic hand-drawn re-enactment of ""The Sinking of the Lusitania"" (1918), early animated documentary was both embraced for its ability to visualize the unseeable and wielded as a powerful tool for propaganda. In recent decades, animation has grown increasingly popular as a mode of nonfiction filmmaking, celebrated for its ability to poetically moderate complex truths with raw emotionality; process identity, trauma and memory; and explore collective histories.In this course, students will make a series of short nonfiction animation projects. Techniques might include comics, journalism, rotoscoping, scientific visualization, observational palimpsest, and archival stop motion. Discussion topics will cover the ethics of representation and appropriation, research methodologies, photographic indexicality, embodying empathy through anonymity, and navigating the truth of constructed images in a post-truth media landscape. Readings and screenings of historical and contemporary animated documentaries will introduce students to the field, including films by Penny Lane, Jonas Poher Rasmussen, Mona Chalabi, Ng’endo Mukaii, Alisi Telengut, Kyungwon Song, Sheila Sofian, Danski Tang, and Adam & Zack Khalil. Students do not need animation experience to enroll in the class—supplementary technical workshops will provide students with instruction in the necessary software and tools, including Dragonframe and Adobe Premiere. Students will be evaluated on their successful and timely completion of assignments, critical engagement with reading/screening materials, and thoughtful participation in class discussions.Level: Introductory/Intermediate. Prerequisites: Students should have taken at least one art, film, or animation class, or have previous experience in art or filmmaking. Class limit: 12. Lab fee: $60. Meets the following degree requirements: ADS.",
"McKown, Jamie",Voting and Elections: Case Studies,HS,Advanced,"This course will be an in depth exploration of contemporary flashpoint issues involving the design, administration, and regulation of elections for public office in the United States. We will take up a series of case studies by examining their history, the stakeholders involved, and the pros and cons of the relevant alternative reform measures that have been proposed. Topics covered in a given term will vary based on changing external factors such as the timing of elections as well as student interests. Students enrolling in the class should expect to be contacted by the instructor prior to the start of the term to discuss areas of interest. Likely areas that may be covered include: campaign finance reform, gerrymandering, instant runoff voting, election technologies, voter suppression, alternative governmental models, the electoral college, party primaries, campaign communication regulation, government funding of elections, nationalization of election standards, etc.. This advanced seminar will emphasize collaborative work, discussion, and debate. We will ground our work as a group in tangible solutions that address existing problems in how elections are conducted in the United States. While the emphasis of the class will be on the US context, we will often draw on international case studies as comparative reference points to assist in evaluating possible policy alternatives. While familiarity with the US political system is not a requirement for this class, students should have completed some previous coursework in areas related to law, policy, government, or politics (domestic or international). Students will be evaluated based on their participation and engagement with class discussion, various short in-class presentations, short form individual response papers, and a longer form longer form project due at the end of the term.Level: Advanced. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Ialeggio, Anna",Wheel-thrown Pottery,ADS,Introductory,"The potter’s wheel can be traced back to the ancient Sumerians, as early as 3,250 B.C.E. With that as our starting point, this introductory studio focuses on vessel-making techniques and traditions through intensive training on the wheel. It is designed for students to develop a unique spatial and material language in clay, grounded in the possibilities and limitations of radial symmetry. A series of technical assignments will build skill, prompt creative problem-solving, introduce basic physical and chemical ceramic processes, and explore form and function through various human ecological frameworks. As always, we make our own clay and keep the studio clean together.Evaluation is based on participation in class activities (exercises, presentations, readings, discussions, occasional writing and/or drawing prompts), significant studio time outside of class, timely completion of all projects with corresponding group critique sessions, and consistent involvement with studio maintenance. A sketchbook is required.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",
"Bennett, Michael",World Percussion,ADS,Introductory,"This is a ""hands on"" class for learning and performing conga, snare drum, drum set, hand percussion techniques, focusing on the role of percussion in European, Latin American, African, and American music. In addition to enjoying themselves and having a better understanding of the world of percussion, students master rhythmic notation, counting and subdivision, time signature, and reading percussion music. Requirements include: test on notation, composition of a percussion ensemble solo that will be performed by the group, and a paper on a percussion topic of student's choice with approval of the instructor.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: ADS.",
"Donovan, Martha","Writing as Art, Craft, and Social Action",W HS,Introductory/Intermediate,"We write to discover what awes us, what questions we most need to ask, what conversations we hope to join, what causes we are drawn to support, what convictions we want to voice, and what ways we can write the world anew. Writing is both an art and a social action that can change us and our audiences. That is the province of this course.We will read and analyze various forms of writing (genres) on a broad range of social and policy issues, such as the value of wonder, the importance of antiracist work, the need for accessibility policies on college campuses, and other issues. We will consider the craft, context, audience, purpose, and possibilities of these texts as guides for our own writing. We will focus on the possibilities of the written and spoken word; the power of our distinct and unique voices; the importance of taking risks in our thinking and writing; the messiness, urgency, and necessity of the writing process; and the value of intellectual inquiry and the seamless integration and documentation of researched material. Students will address current issues of pressing concern and personal relevance in their own writing in three different selected genres (e.g., reflective essay, commentary, letter to editor, Commencement speech, testimony, proposal, open letter, personal statement, etc.). Students will examine and develop strategies for writing with curiosity, clarity, complexity, creativity, courage, and compassion as they invite their audience to consider their ideas and invitations/calls to action. Students will write about issues that matter to them, ones of interest to a local (Mount Desert Island or home town), state (Maine or home state), and/or national audience.Classwork will include various analytical, generative, and collaborative exercises designed to help with matters of language, craft, technique, and rhetorical awareness. Students will write for a public audience and participate in active engagement with each other’s work.Authors (representing a range of genres and topics) will likely include Annie Dillard, Rachel Carson, Barry Lopez, David Whyte, Margaret Renkl, Toni Morrison, Martin Luther King Jr., Terry Tempest Williams, and others. Students will also select a longer text to read from a list of authors that may include Jonathan Safran Foer, Susan Cain, Felicia Rose Chavez, Claudia Rankine, and others.Students will be evaluated on class participation, written assignments, writing process, and presentations. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",
"Graham, Carrie",Zoological Field Sketching,,Introductory,"The ability to make careful observations and record them through sketches is an invaluable tool for artists, scientists, and other curious and creative people. Maintaining a sketchbook can be both a professionally useful and personally rewarding practice. This multidisciplinary course will encourage students to develop a regular sketchbook practice using animals as the focus of study. It is intended for any student who wishes to improve their sketching and observational skills, gain an understanding of animal anatomy, and learn about local animal life. Students will draw from museum specimens, taxidermy mounts, and live animals using a variety of media and techniques suitable for field sketching. Class will take place in the Dorr Museum and at field sites within Acadia National Park and Hancock County.This course will meet for two three hour sessions per week. The first session will include a lesson about a particular animal taxon, followed by sketching exercises using museum specimens and mounts as references. In the second session, students will draw from live animals in the field. Students will also spend approximately nine hours per week outside of class on additional field sketching assignments, readings, and research.Evaluations will emphasize participation and student growth rather than artistic ability. Our focus will be on practice and learning to effectively record observations, not on creating polished illustrations. Prior experience with drawing is not required.Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: $70. Meets the following degree requirements: None.",
